date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-04-20,Alabama,2327764.0,3761730.0,1494421.0,19.71,47.47,966251.0,30.48,76.72,30201.0,28635.0,5840.0,0.619
2021-04-21,Alabama,2360527.0,3796070.0,1507116.0,20.14,48.14,987379.0,30.74,77.42,32763.0,27377.0,5584.0,0.622
2021-04-22,Alabama,2394304.0,3825010.0,1518928.0,20.61,48.83,1010415.0,30.98,78.01,33777.0,26702.0,5446.0,0.626
2021-04-23,Alabama,2429629.0,3898820.0,1531741.0,21.09,49.55,1033996.0,31.24,79.52,35325.0,26294.0,5363.0,0.623
2021-04-24,Alabama,2461510.0,3960530.0,1543544.0,21.51,50.2,1054863.0,31.48,80.77,31881.0,25832.0,5268.0,0.622
2021-04-25,Alabama,2471409.0,3960530.0,1546659.0,21.67,50.4,1062524.0,31.54,80.77,9899.0,25590.0,5219.0,0.624
2021-04-26,Alabama,2478227.0,3960530.0,1549782.0,21.75,50.54,1066659.0,31.61,80.77,6818.0,25809.0,5264.0,0.626
2021-04-27,Alabama,2499694.0,4009430.0,1558652.0,22.02,50.98,1079815.0,31.79,81.77,21467.0,24561.0,5009.0,0.623
2021-04-28,Alabama,2527815.0,4033570.0,1568315.0,22.41,51.55,1098820.0,31.99,82.26,28121.0,23898.0,4874.0,0.627
2021-04-29,Alabama,2559938.0,4042070.0,1579093.0,22.87,52.21,1121348.0,32.21,82.44,32123.0,23662.0,4826.0,0.633
2021-04-30,Alabama,2591163.0,4088030.0,1589518.0,23.32,52.85,1143488.0,32.42,83.37,31225.0,23076.0,4706.0,0.634
2021-05-01,Alabama,2617405.0,4130550.0,1599130.0,23.69,53.38,1161725.0,32.61,84.24,26242.0,22271.0,4542.0,0.634
2021-05-02,Alabama,2622717.0,4130550.0,1601433.0,23.77,53.49,1165479.0,32.66,84.24,5312.0,21615.0,4408.0,0.635
2021-05-03,Alabama,2627322.0,4130550.0,1603454.0,23.83,53.58,1168235.0,32.7,84.24,4605.0,21299.0,4344.0,0.636
2021-05-04,Alabama,2644674.0,4145390.0,1609919.0,24.06,53.94,1179793.0,32.83,84.54,17352.0,20711.0,4224.0,0.638
2021-05-05,Alabama,2670926.0,4187860.0,1618791.0,24.45,54.47,1199064.0,33.02,85.41,26252.0,20444.0,4170.0,0.638
2021-05-06,Alabama,2673181.0,4225140.0,1619783.0,24.5,54.52,1201303.0,33.04,86.17,2255.0,16178.0,3299.0,0.633
2021-05-07,Alabama,2726356.0,4241420.0,1636710.0,25.3,55.6,1240335.0,33.38,86.5,53175.0,19313.0,3939.0,0.643
2021-05-08,Alabama,2758021.0,4277330.0,1649688.0,25.78,56.25,1263965.0,33.65,87.24,31665.0,20088.0,4097.0,0.645
2021-05-09,Alabama,2768204.0,4277330.0,1654267.0,25.92,56.46,1270858.0,33.74,87.24,10183.0,20784.0,4239.0,0.647
2021-05-10,Alabama,2773615.0,4277330.0,1657672.0,25.98,56.57,1273670.0,33.81,87.24,5411.0,20899.0,4262.0,0.648
2021-05-11,Alabama,2773902.0,4295160.0,1658191.0,25.98,56.57,1273999.0,33.82,87.6,287.0,18461.0,3765.0,0.646
2021-05-12,Alabama,2791631.0,4311320.0,1664353.0,26.24,56.94,1286565.0,33.94,87.93,17729.0,17244.0,3517.0,0.648
2021-05-13,Alabama,2831853.0,4322400.0,1678119.0,26.81,57.76,1314534.0,34.23,88.15,40222.0,22667.0,4623.0,0.655
2021-05-14,Alabama,2859591.0,4348790.0,1687875.0,27.21,58.32,1334176.0,34.42,88.69,27738.0,19034.0,3882.0,0.658
2021-05-15,Alabama,2881314.0,4373130.0,1697289.0,27.49,58.76,1348023.0,34.62,89.19,21723.0,17613.0,3592.0,0.659
2021-05-16,Alabama,2886106.0,4373130.0,1699751.0,27.55,58.86,1350643.0,34.67,89.19,4792.0,16843.0,3435.0,0.66
2021-05-17,Alabama,2886153.0,4373130.0,1699915.0,27.55,58.86,1350830.0,34.67,89.19,47.0,16077.0,3279.0,0.66
2021-05-18,Alabama,2905553.0,4389040.0,1709333.0,27.79,59.26,1362380.0,34.86,89.51,19400.0,18807.0,3836.0,0.662
2021-05-19,Alabama,2906102.0,4393980.0,1709761.0,27.79,59.27,1362834.0,34.87,89.61,549.0,16353.0,3335.0,0.661
2021-01-12,Alaska,35838.0,141600.0,22486.0,0.74,4.9,5400.0,3.07,19.36,,,,0.253
2021-01-13,Alaska,38680.0,149475.0,24541.0,0.84,5.29,6166.0,3.35,20.43,2842.0,2842.0,3885.0,0.259
2021-01-14,Alaska,42596.0,150450.0,35508.0,,5.82,,4.85,20.57,3916.0,3379.0,4619.0,0.283
2021-01-15,Alaska,49039.0,150450.0,39546.0,1.29,6.7,9406.0,5.41,20.57,6443.0,4400.0,6015.0,0.326
2021-01-16,Alaska,,,,,,,,,4323.0,4381.0,5989.0,
2021-01-17,Alaska,,,,,,,,,4323.0,4369.0,5972.0,
2021-01-18,Alaska,,,,,,,,,4323.0,4362.0,5963.0,
2021-01-19,Alaska,66331.0,150450.0,55434.0,1.48,9.07,10802.0,7.58,20.57,4323.0,4356.0,5955.0,0.441
2021-01-20,Alaska,68293.0,150350.0,56911.0,1.54,9.34,11283.0,7.78,20.55,1962.0,4230.0,5782.0,0.454
2021-01-21,Alaska,71907.0,154325.0,59449.0,1.69,9.83,12352.0,8.13,21.1,3614.0,4187.0,5724.0,0.466
2021-01-22,Alaska,81096.0,155500.0,67262.0,1.88,11.09,13718.0,9.19,21.26,9189.0,4580.0,6261.0,0.522
2021-01-23,Alaska,88344.0,155700.0,73014.0,2.08,12.08,15206.0,9.98,21.28,7248.0,4997.0,6831.0,0.567
2021-01-24,Alaska,94257.0,155700.0,77925.0,2.21,12.88,16201.0,10.65,21.28,5913.0,5225.0,7142.0,0.605
2021-01-25,Alaska,97031.0,155700.0,80226.0,2.28,13.26,16673.0,10.97,21.28,2774.0,5003.0,6839.0,0.623
2021-01-26,Alaska,98149.0,162925.0,81200.0,2.3,13.42,16815.0,11.1,22.27,1118.0,4545.0,6213.0,0.602
2021-01-27,Alaska,101597.0,170575.0,83363.0,2.47,13.89,18097.0,11.4,23.32,3448.0,4758.0,6504.0,0.596
2021-01-28,Alaska,105858.0,178075.0,85672.0,2.74,14.47,20045.0,11.71,24.34,4261.0,4850.0,6630.0,0.594
2021-01-29,Alaska,110396.0,192350.0,88654.0,2.95,15.09,21593.0,12.12,26.29,4538.0,4186.0,5722.0,0.574
2021-01-30,Alaska,115268.0,193150.0,91794.0,3.19,15.76,23320.0,12.55,26.4,4872.0,3846.0,5257.0,0.597
2021-01-31,Alaska,119590.0,193150.0,94889.0,3.36,16.35,24545.0,12.97,26.4,4322.0,3619.0,4947.0,0.619
2021-02-01,Alaska,122020.0,193150.0,96396.0,3.48,16.68,25467.0,13.18,26.4,2430.0,3570.0,4880.0,0.632
2021-02-02,Alaska,123443.0,196975.0,97076.0,3.58,16.87,26207.0,13.27,26.93,1423.0,3613.0,4939.0,0.627
2021-02-03,Alaska,125765.0,229975.0,98076.0,3.76,17.19,27528.0,13.41,31.44,2322.0,3453.0,4720.0,0.547
2021-02-04,Alaska,129936.0,240325.0,99596.0,4.12,17.76,30172.0,13.61,32.85,4171.0,3440.0,4702.0,0.541
2021-02-05,Alaska,134002.0,245700.0,101225.0,4.46,18.32,32593.0,13.84,33.59,4066.0,3372.0,4609.0,0.545
2021-02-06,Alaska,139147.0,248500.0,103163.0,4.89,19.02,35773.0,14.1,33.97,5145.0,3411.0,4663.0,0.56
2021-02-07,Alaska,146082.0,248500.0,106311.0,5.41,19.97,39541.0,14.53,33.97,6935.0,3785.0,5174.0,0.588
2021-02-08,Alaska,150934.0,248500.0,109890.0,5.58,20.63,40812.0,15.02,33.97,4852.0,4131.0,5647.0,0.607
2021-02-09,Alaska,152874.0,256900.0,110936.0,5.7,20.9,41698.0,15.16,35.12,1940.0,4204.0,5747.0,0.595
2021-02-10,Alaska,156255.0,260300.0,112448.0,5.95,21.36,43552.0,15.37,35.58,3381.0,4356.0,5955.0,0.6
2021-02-11,Alaska,162273.0,270250.0,116001.0,6.29,22.18,46006.0,15.86,36.94,6018.0,4620.0,6315.0,0.6
2021-02-12,Alaska,167436.0,271350.0,118189.0,6.69,22.89,48969.0,16.16,37.09,5163.0,4776.0,6529.0,0.617
2021-02-13,Alaska,175138.0,271550.0,122463.0,7.16,23.94,52380.0,16.74,37.12,7702.0,5142.0,7029.0,0.645
2021-02-14,Alaska,183831.0,271550.0,126381.0,7.81,25.13,57117.0,17.28,37.12,8693.0,5393.0,7372.0,0.677
2021-02-15,Alaska,,,,,,,,,3588.5,5212.0,7125.0,
2021-02-16,Alaska,191008.0,271550.0,129658.0,8.33,26.11,60964.0,17.72,37.12,3588.5,5448.0,7447.0,0.703
2021-02-17,Alaska,193617.0,271550.0,130751.0,8.54,26.47,62474.0,17.87,37.12,2609.0,5337.0,7296.0,0.713
2021-02-18,Alaska,199151.0,271550.0,133491.0,8.92,27.22,65245.0,18.25,37.12,5534.0,5268.0,7201.0,0.733
2021-02-19,Alaska,216223.0,299935.0,143887.0,9.83,29.56,71892.0,19.67,41.0,17072.0,6970.0,9528.0,0.721
2021-02-20,Alaska,227403.0,299935.0,148299.0,10.75,31.09,78623.0,20.27,41.0,11180.0,7466.0,10206.0,0.758
2021-02-21,Alaska,235141.0,299935.0,152349.0,11.25,32.14,82272.0,20.83,41.0,7738.0,7330.0,10020.0,0.784
2021-02-22,Alaska,238279.0,299935.0,153572.0,11.5,32.57,84131.0,20.99,41.0,3138.0,7266.0,9932.0,0.794
2021-02-23,Alaska,239927.0,304875.0,154618.0,11.58,32.8,84746.0,21.14,41.68,1648.0,6988.0,9552.0,0.787
2021-02-24,Alaska,243650.0,315765.0,156267.0,11.87,33.31,86836.0,21.36,43.16,3723.0,7148.0,9771.0,0.772
2021-02-25,Alaska,249559.0,319265.0,158792.0,12.33,34.11,90214.0,21.71,43.64,5909.0,7201.0,9844.0,0.782
2021-02-26,Alaska,254334.0,332415.0,161595.0,12.61,34.77,92233.0,22.09,45.44,4775.0,5444.0,7442.0,0.765
2021-02-27,Alaska,259538.0,342535.0,163739.0,13.03,35.48,95331.0,22.38,46.82,5204.0,4591.0,6276.0,0.758
2021-02-28,Alaska,264741.0,342535.0,166735.0,13.34,36.19,97554.0,22.79,46.82,5203.0,4229.0,5781.0,0.773
2021-03-01,Alaska,268406.0,342535.0,168069.0,13.66,36.69,99916.0,22.97,46.82,3665.0,4304.0,5883.0,0.784
2021-03-02,Alaska,269941.0,372725.0,168646.0,13.79,36.9,100902.0,23.05,50.95,1535.0,4288.0,5862.0,0.724
2021-03-03,Alaska,273350.0,399225.0,170586.0,14.0,37.37,102382.0,23.32,54.57,3409.0,4243.0,5800.0,0.685
2021-03-04,Alaska,276891.0,409125.0,172414.0,14.23,37.85,104129.0,23.57,55.93,3541.0,3905.0,5338.0,0.677
2021-03-05,Alaska,281467.0,421375.0,174588.0,14.57,38.48,106558.0,23.87,57.6,4576.0,3876.0,5298.0,0.668
2021-03-06,Alaska,288625.0,426715.0,178237.0,15.04,39.45,110053.0,24.36,58.33,7158.0,4155.0,5680.0,0.676
2021-03-07,Alaska,295046.0,426715.0,180948.0,15.55,40.3
